model,query_id,gold_id,rr,r1,ndcg5,switch_band,switch_ratio,has_lingala,matrix_lang,n_switch_points
tfidf_word_bigram,cs_txt_000022,cs_txt_000023,0.3333333333333333,0.0,0.5,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000023,cs_txt_000022,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000040,cs_txt_000041,0.5,0.0,0.6309297535714575,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000041,cs_txt_000040,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000277,cs_txt_000279,0.07142857142857142,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000279,cs_txt_000277,0.5,0.0,0.6309297535714575,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000310,cs_txt_000311,1.0,1.0,1.0,low,0.16666666666666666,True,swa,2
tfidf_word_bigram,cs_txt_000311,cs_txt_000310,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000371,cs_txt_000372,0.5,0.0,0.6309297535714575,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000372,cs_txt_000371,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000500,cs_txt_000501,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000501,cs_txt_000500,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000523,cs_txt_000524,1.0,1.0,1.0,medium,0.3333333333333333,True,swa,4
tfidf_word_bigram,cs_txt_000524,cs_txt_000523,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000677,cs_txt_000678,0.3333333333333333,0.0,0.5,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000678,cs_txt_000677,0.5,0.0,0.6309297535714575,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_000868,cs_txt_000869,0.125,0.0,0.0,low,0.16666666666666666,True,swa,2
tfidf_word_bigram,cs_txt_000869,cs_txt_000868,0.5,0.0,0.6309297535714575,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001027,cs_txt_001029,0.14285714285714285,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001029,cs_txt_001027,0.5,0.0,0.6309297535714575,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001232,cs_txt_001233,0.3333333333333333,0.0,0.5,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001233,cs_txt_001232,0.5,0.0,0.6309297535714575,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001447,cs_txt_001449,0.06666666666666667,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001449,cs_txt_001447,0.3333333333333333,0.0,0.5,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001453,cs_txt_001454,0.5,0.0,0.6309297535714575,high,0.5,True,swa,4
tfidf_word_bigram,cs_txt_001454,cs_txt_001453,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001462,cs_txt_001463,1.0,1.0,1.0,low,0.16666666666666666,True,swa,2
tfidf_word_bigram,cs_txt_001463,cs_txt_001462,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001507,cs_txt_001509,0.3333333333333333,0.0,0.5,low,0.16666666666666666,False,swa,1
tfidf_word_bigram,cs_txt_001509,cs_txt_001507,0.3333333333333333,0.0,0.5,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001627,cs_txt_001628,0.14285714285714285,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001628,cs_txt_001627,0.3333333333333333,0.0,0.5,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001676,cs_txt_001677,0.16666666666666666,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001677,cs_txt_001676,0.5,0.0,0.6309297535714575,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001708,cs_txt_001710,0.3333333333333333,0.0,0.5,medium,0.3333333333333333,True,swa,2
tfidf_word_bigram,cs_txt_001710,cs_txt_001708,0.3333333333333333,0.0,0.5,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001715,cs_txt_001716,0.25,0.0,0.43067655807339306,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_001716,cs_txt_001715,0.5,0.0,0.6309297535714575,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002020,cs_txt_002021,0.16666666666666666,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002021,cs_txt_002020,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002047,cs_txt_002049,0.25,0.0,0.43067655807339306,low,0.16666666666666666,True,swa,2
tfidf_word_bigram,cs_txt_002049,cs_txt_002047,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002140,cs_txt_002141,0.3333333333333333,0.0,0.5,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002141,cs_txt_002140,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002191,cs_txt_002193,0.3333333333333333,0.0,0.5,low,0.14285714285714285,True,swa,2
tfidf_word_bigram,cs_txt_002193,cs_txt_002191,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002264,cs_txt_002265,0.2,0.0,0.38685280723454163,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002265,cs_txt_002264,0.2,0.0,0.38685280723454163,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002317,cs_txt_002319,0.2,0.0,0.38685280723454163,medium,0.3333333333333333,True,swa,2
tfidf_word_bigram,cs_txt_002319,cs_txt_002317,0.25,0.0,0.43067655807339306,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002350,cs_txt_002351,0.2,0.0,0.38685280723454163,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002351,cs_txt_002350,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002446,cs_txt_002448,0.1,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002448,cs_txt_002446,0.5,0.0,0.6309297535714575,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002698,cs_txt_002700,0.08333333333333333,0.0,0.0,medium,0.3333333333333333,True,swa,2
tfidf_word_bigram,cs_txt_002700,cs_txt_002698,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002980,cs_txt_002982,0.1,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_002982,cs_txt_002980,0.3333333333333333,0.0,0.5,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003016,cs_txt_003018,0.3333333333333333,0.0,0.5,low,0.14285714285714285,True,swa,1
tfidf_word_bigram,cs_txt_003018,cs_txt_003016,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003092,cs_txt_003093,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003093,cs_txt_003092,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003104,cs_txt_003105,0.0625,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003105,cs_txt_003104,0.07142857142857142,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003163,cs_txt_003165,0.09090909090909091,0.0,0.0,low,0.16666666666666666,True,swa,2
tfidf_word_bigram,cs_txt_003165,cs_txt_003163,0.1,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003343,cs_txt_003344,0.3333333333333333,0.0,0.5,medium,0.3333333333333333,True,swa,4
tfidf_word_bigram,cs_txt_003344,cs_txt_003345,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003345,cs_txt_003343,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003358,cs_txt_003360,1.0,1.0,1.0,high,0.5,True,swa,4
tfidf_word_bigram,cs_txt_003360,cs_txt_003358,1.0,1.0,1.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003683,cs_txt_003684,0.07692307692307693,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003684,cs_txt_003683,0.14285714285714285,0.0,0.0,low,0.0,False,swa,0
tfidf_word_bigram,cs_txt_003784,cs_txt_003785,1.0,1.0,1.0,low,0.125,True,swa,1
